1431814302194,0,0,0,351565052318364,no_ping,data_not_available,"[0,0,0]",0.0,,,,[],0,[0],0.0,,0,0,0
1431814361794,20034,12876,276001,351565052318364,www.unige.ch,Http,"[97,72,97]",97.0,mobile,HSDPA,sunrise,[29005951],0,[-89],-89.0,29005951,22300,2,228
1431814421798,20034,864,656,351565052318364,www.unige.ch,Http,"[90,101,132]",101.0,mobile,HSPA+,sunrise,"[29005951,29019455]",1,[-81],-81.0,29019455,22300,2,228
1431843709770,20027,15287,8455,351565052318364,www.unige.ch,Http,"[620,1008,55]",620.0,mobile,HSDPA,sunrise,"[29019455,29005951]",1,[-97],-97.0,29005951,22300,2,228
1431843769778,20044,1616,1448,351565052318364,www.unige.ch,Http,"[1531,49,50]",50.0,mobile,HSDPA,sunrise,"[29019455,29005951]",1,[-91],-91.0,29005951,22300,2,228
1431843829844,20029,1016,814,351565052318364,www.unige.ch,Http,"[590,629,580]",590.0,mobile,HSDPA,sunrise,[29019455],0,[-99],-99.0,29019455,22300,2,228
1431843889888,20029,864,656,351565052318364,www.unige.ch,Http,"[598,809,589]",598.0,mobile,HSDPA,sunrise,[29019455],0,[-99],-99.0,29019455,22300,2,228
1431843949928,20027,1289,1096,351565052318364,www.unige.ch,Http,"[519,700,647]",647.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
1431844009972,20034,864,656,351565052318364,www.unige.ch,Http,"[579,630,640]",630.0,mobile,HSDPA,sunrise,[29019455],0,[-99],-99.0,29019455,22300,2,228
1431844070018,20030,864,656,351565052318364,www.unige.ch,Http,"[578,630,639]",630.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
1431844130073,20033,864,656,351565052318364,www.unige.ch,Http,"[580,628,570]",580.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
1431844190116,20147,993,726,351565052318364,www.unige.ch,Http,"[568,649,629]",629.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
1431844250172,20027,864,656,351565052318364,www.unige.ch,Http,"[639,629,608]",629.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
1431844310221,20025,864,656,351565052318364,www.unige.ch,Http,"[579,639,640]",639.0,mobile,HSDPA,sunrise,[29019455],0,[-101],-101.0,29019455,22300,2,228
