1431876329901,0,0,0,352136063153650,no_ping,data_not_available,"[0,0,0]",0.0,,,,[],0,[0],0.0,,0,0,0
1431876346246,21132,3029282,563837,352136063153650,www.unige.ch,Http,"[34,50,30]",34.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876416371,20089,1228,968,352136063153650,www.unige.ch,Http,"[44,39,46]",44.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876476435,20045,864,656,352136063153650,www.unige.ch,Http,"[43,35,32]",35.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876538708,20082,1090,961,352136063153650,www.unige.ch,Http,"[40,41,40]",40.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876599448,21118,1512,1299,352136063153650,www.unige.ch,Http,"[29,43,38]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876659521,20050,969,712,352136063153650,www.unige.ch,Http,"[54,43,47]",47.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876719564,20056,864,696,352136063153650,www.unige.ch,Http,"[31,37,46]",37.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876779615,20069,864,656,352136063153650,www.unige.ch,Http,"[38,34,35]",35.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876874169,20070,15410,11925,352136063153650,www.unige.ch,Http,"[40,34,45]",40.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876934237,20113,2481,5325,352136063153650,www.unige.ch,Http,"[32,40,37]",37.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431876994471,20048,1883,1800,352136063153650,www.unige.ch,Http,"[38,37,44]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877054493,20110,916,656,352136063153650,www.unige.ch,Http,"[49,30,43]",43.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877114739,20054,916,708,352136063153650,www.unige.ch,Http,"[39,36,38]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877174779,20060,864,656,352136063153650,www.unige.ch,Http,"[39,47,42]",42.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877267365,20106,1125,1052,352136063153650,www.unige.ch,Http,"[44,35,42]",42.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877354464,20071,916,741,352136063153650,www.unige.ch,Http,"[50,33,38]",38.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877414593,20050,864,656,352136063153650,www.unige.ch,Http,"[40,41,47]",41.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877474735,20048,864,656,352136063153650,www.unige.ch,Http,"[45,47,38]",45.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
1431877534861,20071,916,726,352136063153650,www.unige.ch,Http,"[41,36,43]",41.0,MOBILE,LTE,Swisscom,[17782017],0,[-105],-105.0,17782017,2727,1,228
