1430892096587,0,0,0,352136063161984,no_ping,data_not_available,"[0,0,0]",0.0,,,,[],0,[0],0.0,,0,0,0
1430892109657,20104,145947,161804,352136063161984,www.unige.ch,Http,"[4,5,3]",4.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,7307687,1818,1,228
1430892169787,20064,1072,1026,352136063161984,www.unige.ch,Http,"[3,2,3]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,"[-67,-66,-67,-66]",-66.5,7307687,1818,1,228
1430892230299,21162,1128,957,352136063161984,www.unige.ch,Http,"[4,7,7]",7.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-67],-67.0,7307687,1818,1,228
1430892290377,20060,2529,2504,352136063161984,www.unige.ch,Http,"[4,8,10]",8.0,WIFI,,unige,[50:06:04:c3:eb:09],0,"[-74,-62]",-68.0,9088002,42010,2,228
1430892356617,20021,8478,8832,352136063161984,www.unige.ch,Http,"[3,3,3]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-62],-62.0,9088002,42010,2,228
1430892417753,20095,1009,780,352136063161984,www.unige.ch,Http,"[6,5,4]",5.0,WIFI,,unige,[50:06:04:c3:eb:09],0,"[-68,-65,-67]",-67.0,9088002,42010,2,228
1430892477748,20062,904,696,352136063161984,www.unige.ch,Http,"[6,3,5]",5.0,WIFI,,unige,[50:06:04:c3:eb:09],0,"[-68,-64,-72]",-68.0,9088002,42010,2,228
1430892537819,20017,3873,3033,352136063161984,www.unige.ch,Http,"[3,5,2]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,"[-69,-66,-68]",-68.0,9088002,42010,2,228
1430892606782,20063,5059,3204,352136063161984,www.unige.ch,Http,"[5,4,4]",4.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892667999,20104,896,760,352136063161984,www.unige.ch,Http,"[4,4,3]",4.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892729299,20075,1008,800,352136063161984,www.unige.ch,Http,"[2,2,4]",2.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892790496,20065,1008,800,352136063161984,www.unige.ch,Http,"[4,3,7]",4.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892851640,20817,1112,955,352136063161984,www.unige.ch,Http,"[3,4,3]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892912813,20075,1152,872,352136063161984,www.unige.ch,Http,"[5,5,122]",5.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430892974328,20073,1152,872,352136063161984,www.unige.ch,Http,"[3,4,4]",4.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430893036438,20125,3398,6372,352136063161984,www.unige.ch,Http,"[7,3,3]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
1430893096539,20077,2953,4657,352136063161984,www.unige.ch,Http,"[3,3,4]",3.0,WIFI,,unige,[50:06:04:c3:eb:09],0,[-68],-68.0,9088002,42010,2,228
