1430448694730,0,0,0,352136063152108,no_ping,data_not_available,"[0,0,0]",0.0,,,,[],0,[0],0.0,,0,0,0
1430448754939,21469,290078,148228,352136063152108,www.unige.ch,Http,"[42,35,48]",42.0,MOBILE,HSPA+,Swisscom,[7328058],0,"[-77,-77,-77,-83,-87,-89,-85,-89]",-84.0,7328058,4242,1,228
1430448815278,21345,649064,113920,352136063152108,www.unige.ch,Http,"[25,35,26]",26.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,"[-60,-69,-63,-67,-66]",-66.0,17082625,4242,1,228
1430448875278,20030,33939,46404,352136063152108,www.unige.ch,Http,"[20,21,19]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,"[-66,-67,-65]",-66.0,17082625,4242,1,228
1430448935298,20021,19013,92510,352136063152108,www.unige.ch,Http,"[19,26,21]",21.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-65],-65.0,17082625,4242,1,228
1430448995311,20010,8699,8531,352136063152108,www.unige.ch,Http,"[20,25,19]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449055783,20067,4264,2487,352136063152108,www.unige.ch,Http,"[18,23,18]",18.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449116004,20086,13965,95743,352136063152108,www.unige.ch,Http,"[18,39,18]",18.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449176118,20094,3516,1745,352136063152108,www.unige.ch,Http,"[20,21,20]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449236209,20074,1243,804,352136063152108,www.unige.ch,Http,"[20,19,23]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449296310,20092,3490,9328,352136063152108,www.unige.ch,Http,"[18,19,22]",19.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449356507,20072,1154,0,352136063152108,www.unige.ch,Http,"[5000,5000]",5000.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449416724,20066,172236,13933,352136063152108,www.unige.ch,Http,"[20,20,24]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449476815,20097,3222,1622,352136063152108,www.unige.ch,Http,"[19,20,20]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449537028,20093,3223,1860,352136063152108,www.unige.ch,Http,"[21,18,20]",20.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449597004,20103,1962,1064,352136063152108,www.unige.ch,Http,"[21,21,20]",21.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:89],0,[-64],-64.0,17082625,4242,1,228
1430449657078,20095,4058,4220,352136063152108,www.unige.ch,Http,"[19,19,21]",19.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:8a],0,[-64],-64.0,17082625,4242,1,228
1430449717138,20120,7445,6494,352136063152108,www.unige.ch,Http,"[20,18,19]",19.0,WIFI,,Gusman_time_capsule,[90:84:0d:d8:72:8a],0,[-64],-64.0,17082625,4242,1,228
